SMILES,frequency
[5*]N,66087
[16*]c1ccccc1,29125
[1*]C=O,26370
[8*]C,19274
[3*]O,17290
[6*]C=O,16294
[4*]C,14388
[4*]CC,12354
[3*]OC,10372
[8*]CC,8363
[1*]C(C)=O,8205
[5*]NC,5702
[11*]S,5700
[5*][NH3+],5545
[4*]CC=O,4239
[5*]N1CCNCC1,3268
[1*]C(=O)CC,3250
[5*]N1CCCCC1,3185
[15*]C1CC1,2876
[8*]CC=O,2853
[4*]CCC,2606
[15*]C1CCCCC1,1972
[16*]c1ccc(F)cc1,1833
[4*]C(C)C,1817
[15*]C1CCCC1,1806
[14*]c1ccccn1,1777
[16*]c1ccc(C)cc1,1744
[5*]N1CCCC1,1726
[5*][NH2+]C,1666
[1*]C(=O)C=O,1663
[8*]CCC,1663
[14*]c1ccco1,1545
[16*]c1ccc(Cl)cc1,1509
[4*]C(C)C=O,1458
[15*]C1CCNCC1,1450
[5*]N1CCOCC1,1435
[14*]c1cccs1,1431
[16*]c1ccccc1F,1417
[16*]c1ccccc1C,1401
[16*]c1cccnc1,1400
[5*][NH+]1CCCCC1,1338
[8*]C(C)C,1324
[16*]c1cccc(C)c1,1315
[14*]c1nccs1,1251
[15*]C1CCCNC1,1209
[8*]C(F)(F)F,1167
[16*]c1cccc(F)c1,1129
[9*]n1cccn1,1125
[6*]C(=O)[O-],1099
[16*]c1cccc(Cl)c1,1074
[13*]C1CCCO1,1000
[16*]c1ccccc1Cl,992
[8*]CCC=O,952
[5*]N(C)C,933
[16*]c1ccncc1,876
[14*]c1ncon1,855
[14*]c1ncno1,841
[14*]c1cscn1,828
[4*]CC(C)C,808
[8*]CO,802
[10*]N1CCCC1=O,802
[15*]C1CC[NH2+]CC1,759
[12*]S(=O)(=O)c1ccccc1,746
[5*][NH+](C)C,730
[6*]C(N)=O,723
[6*]C(C)=O,713
[5*][NH+]1CCCC1,710
[11*]SC,702
[4*]C(C)(C)C,689
[13*]C1CCCN1,678
[14*]c1nnco1,673
[14*]c1nncs1,652
[8*]C(C)(C)C,651
[7*]=CC=O,647
[15*]C1CCNC1,609
[5*]N1CC[NH2+]CC1,607
[16*]c1cn[nH]c1,598
[14*]c1cc[nH]n1,572
[4*]CCO,572
[1*]C(=O)CCC,568
[4*]CCC=O,549
[5*][NH+]1CCNCC1,542
[8*]C(C)O,503
[14*]c1nnc[nH]1,502
[4*]CC(C)O,499
[4*]CCCC,497
[7*]=Cc1ccccc1,484
[8*]CC(C)C,476
[16*]c1ccsc1,469
[4*]C(C)CC,464
[16*]c1cnn(C)c1,463
[15*]C1CNC(=O)C1,460
[12*]S(C)(=O)=O,459
[16*]c1ccc([SH](=O)=O)cc1,437
[14*]c1ccn[nH]1,425
[15*]C1CCC[NH2+]C1,420
[16*]c1cccc([N+](=O)[O-])c1,400
[5*][NH-],396
[16*]c1ccc(Br)cc1,395
[14*]c1ncccn1,388
[14*]c1ccn(C)n1,383
[16*]c1ccc2c(c1)OCO2,370
[15*]C1CCC1,366
[16*]c1ccccc1O,366
[16*]c1ccc([N+](=O)[O-])cc1,361
[14*]c1cnccn1,358
[14*]c1nc(C)cs1,355
[8*]C[NH3+],354
[14*]c1nc2ccccc2[nH]1,345
[13*]C1CCC[NH2+]1,344
[9*]n1cnnc1,338
[5*]NC(N)=S,338
[13*]C1CNCCO1,334
[16*]c1cccc(Br)c1,332
[14*]c1ccncn1,325
[1*]C(=O)C(C)C,315
[15*]C1CCS(=O)(=O)C1,313
[14*]c1nc2ccccc2s1,310
[9*]n1nc(C)cc1C,307
[8*]CCO,304
[14*]c1ccon1,304
[9*]n1cnnn1,303
[9*]n1ccnc1,301
[15*]C1CCOC1,298
[8*]C(C)C=O,298
[15*]C1CCOCC1,296
