SMILES,MW,TPSA,logP,QED
CC[NH2+]C(CCN1CC[NH+](C)CC1c1ccccc1)C1CC1,303.4940000000001,24.290000000000003,0.3100000000000027,0.7443784445790167
CC([NH2+]CCCN1CC[NH+](C)CC1c1ccccc1)c1cccn1C,342.53100000000006,29.220000000000002,0.6112000000000029,0.7096412336395762
CC([NH2+]CCCN1CC[NH+](C)CC1c1ccccc1)c1cc(Cl)ccn1,374.9600000000001,37.18000000000001,1.3211000000000013,0.7171641858240531
CC([NH2+]CCCN1CC[NH+](C)CC1c1ccccc1)c1nccs1,346.54400000000004,37.18000000000001,0.7292000000000012,0.7254974761293352
CC([NH2+]CCCN1CC[NH+](C)CC1c1ccccc1)c1ccc(C#N)cc1,364.5370000000001,48.08,1.1443800000000017,0.7242084445223866
CC([NH2+]CCCN1CC[NH+](C)CC1c1ccccc1)c1ccccc1F,357.51700000000005,24.290000000000003,1.411800000000001,0.7197705147178282
CC([NH2+]CCCN1CC[NH+](C)CC1c1ccccc1)C1CCCC1,331.5480000000002,24.290000000000003,1.090200000000002,0.7183991144712029
Cc1ncccc1C(C)[NH2+]CCCN1CC[NH+](C)CC1c1ccccc1,354.542,37.18,0.9761200000000032,0.7274912311492211
CC([NH2+]CCCN1CC[NH+](C)CC1c1ccccc1)c1ccc(F)cn1,358.50500000000005,37.18000000000001,0.8068000000000013,0.7189592955674332
CC([NH2+]CCCN1CC[NH+](C)CC1c1ccccc1)c1cccnc1,340.51500000000004,37.18000000000001,0.6677000000000026,0.7271430955190408
COc1ccc(C(=O)N2CCCC(C)C2)cc1N1C(=O)C=C(C)C1=O,342.3950000000001,66.92,2.386800000000001,0.7912251063910598
COc1ccc(C(=O)N2CCCC(CC3Sc4ccccc4NC3=O)C2)cc1,396.51200000000006,58.64,4.050500000000003,0.8470443466741343
COc1cc(C(=O)N2CCCC(C)(C(N)=O)C2)ccc1OCc1cc(Cl)ccn1,417.8930000000001,94.75,3.050200000000001,0.7789336723339277
COc1ccc(C(=O)N2CCCC(C)C2)cc1,233.31099999999995,29.54,2.5673000000000004,0.7853741241074138
CC(C)C[NH+]1CCCC(COc2ccc(C(=O)N3CCCC(C)C3)cc2)CC1,387.58800000000025,33.980000000000004,3.278500000000001,0.8127733298547996
CC1CN(C(=O)c2ccc(OCc3c(F)cccc3N(C)C)cc2)CCC1[NH+](C)C,414.54500000000013,37.22,2.4658000000000007,0.7891833770083261
[NH3+]C1(COc2ccc(C(=O)N3CCCC(CN4C(=O)CCCC4=O)C3)cc2)CCC1,414.5260000000003,94.56,1.621299999999999,0.7159157019984156
COc1ccc(C(=O)N2CCCC(C)C2)cc1NC1CCSc2ccccc21,396.5560000000001,41.57,5.216300000000005,0.769605104768549
COc1ccc(C(=O)N2CCCC(Cn3nc(C)c(Cl)c3C)C2)c(OC)c1,391.8990000000001,56.59,3.722940000000003,0.7789283461855485
COc1ccc(C(=O)N2CCCC(Cn3cnnc3S(C)=O)C2)cc1,362.4550000000001,77.32,1.5764999999999998,0.8069391404589495
CCC(C)NC(=O)CCCNC(=O)N1CC(C)CCC1C,297.44300000000004,61.440000000000005,2.5113000000000003,0.7400313910904187
CCC(C)NC(=O)CCCNC(=O)c1c(C)nc2ccccc2c1C,341.45500000000004,71.09,3.276340000000002,0.7593448341176405
CCC(C)NC(=O)CCCNC(=O)c1cc(Cl)ccn1,297.786,71.09,2.1597,0.7576973143410017
CCC(C)NC(=O)CCCNC(=O)c1scc2c1OCCO2,326.4180000000001,76.66000000000001,1.9439999999999997,0.7509208068559203
CCC(C)NC(=O)CCCNC(=O)c1oc(C)nc1C,281.356,84.23,1.7161399999999996,0.7452239139538119
CCC(C)NC(=O)CCCNC(=O)c1cc(=O)c2cc(C)ccc2o1,344.41100000000006,88.41000000000001,2.5261199999999997,0.7555600801071838
CCC(C)NC(=O)CCCNC(=O)c1cc2c(n(C)c1=O)CCCC2,347.45900000000023,80.2,1.688799999999999,0.7367243894108262
CCC(C)NC(=O)CCCNC(=O)c1cccnc1C,277.36800000000005,71.09,1.8147199999999992,0.7467254340882878
CCC(C)NC(=O)CCCNC(=O)C1Cc2ccccc2O1,304.39000000000004,67.43,1.8011999999999997,0.7548926503902195
CCC(C)NC(=O)CCCNC(=O)c1cc(C#N)c(C(C)(C)C)n1C,346.47500000000014,86.92000000000002,2.6189800000000005,0.744093490056019
CCc1cccc(C)c1NC(=O)C[NH+](CC)C1CCCCCC1,317.4970000000001,33.54,3.123520000000001,0.776663263784152
CCc1cccc(C)c1NC(=O)C[NH2+]CCc1cccn1C,300.42599999999993,50.64,1.6405199999999993,0.7505129743596854
CCc1cc(OC)cc(C)c1NC(=O)C[NH2+]C(C)c1cc(Cl)ccn1,362.88100000000003,67.83,2.8775200000000014,0.7953818123285579
CCc1cccc(C)c1NC(=O)C[NH+](CC)C1CCS(=O)CC1,337.50900000000007,50.61,1.31182,0.8223285708184078
CCc1cccc(C)c1NC(=O)C[NH+](C(C)C)C(C)c1ccc(C#N)cc1,364.5130000000001,57.33,3.422100000000002,0.7908162921916779
CCc1cccc(C)c1NC(=O)C[NH+](C)CCn1nnnc1C,317.417,77.14,0.005740000000001855,0.7538493881316645
CCOC(C)(C)C[NH+](CC)CC(=O)Nc1c(C)cc(C(C)(C)C)cc1CC,377.5930000000002,42.77,3.513320000000002,0.6914649114314694
CCc1cc(OC)cc(C)c1NC(=O)C[NH2+]C(C)c1cccnc1C,342.463,67.83,2.53254,0.8123887544325157
CCc1cccc(C)c1NC(=O)C[NH2+]CCOC1CCCc2ccccc21,367.5130000000001,54.94,3.153520000000001,0.7044030012534169
CCc1cccc(C)c1NC(=O)C[NH2+]CCC1CCCCC1=O,317.4530000000001,62.78,2.2087199999999996,0.7574470767575359
O=C1CCCCN1c1ccc(NC2CCCC2c2ccccc2C(F)(F)F)nn1,404.43600000000004,58.120000000000005,4.760500000000004,0.7982849413587905
CC(C)(C)CC(=O)NC1CCCC1c1ccccc1C(F)(F)F,327.39,29.1,4.893900000000004,0.840879433036856
CNC1(C(=O)[O-])CCCC1c1c(C(N)=O)cccc1C(F)(F)F,329.298,95.25,0.7798999999999995,0.853213134752003
NC1CCCC1c1ccccc1C(F)(F)F,229.24499999999995,26.02,3.300200000000002,0.7851641766169529
CC(C)CCC(=O)NC1CCCC1c1ccccc1C(F)(F)F,327.39,29.1,4.893900000000004,0.8191293141868771
NC(=O)Cn1cnnc1CNC1CCCC1c1ccccc1C(F)(F)F,367.375,85.83000000000001,2.2081,0.8197020328883552
O=C1CCC(C(=O)NC2CCCC2c2ccccc2C(F)(F)F)=NN1,353.34399999999994,70.56,2.723700000000001,0.8771643648458098
CC(C)(CNC1CCCC1c1ccccc1C(F)(F)F)S(C)(=O)=O,363.44500000000005,46.17,3.7543000000000024,0.8665382979679371
CCCCC(=O)NC1(c2nnn[n-]2)CCCC1c1ccccc1C(F)(F)F,380.394,81.87,3.317000000000002,0.8314062670792822
CCOCC1CC(c2ccccc2C(F)(F)F)C(N(CC)C(=O)NNc2ccc(Cl)cc2Cl)C1,518.4070000000002,53.6,6.969500000000005,0.3714188873437865
CC1(c2ccc3ccccc3c2)NC(=O)N(CC(=O)N2CCCc3ccccc32)C1=O,413.4770000000002,69.72,3.5862000000000025,0.6674745570747449
CC1(c2ccc3ccccc3c2)NC(=O)N(CC(=O)N2CCCc3ccccc32)C1=O,413.4770000000002,69.72,3.5862000000000025,0.6674745570747449
CC1(c2ccc3ccccc3c2)NC(=O)N(CC(=O)N2CCCc3ccccc32)C1=O,413.4770000000002,69.72,3.5862000000000025,0.6674745570747449
CC1(c2ccc3ccccc3c2)NC(=O)N(CC(=O)N2CCCc3ccccc32)C1=O,413.4770000000002,69.72,3.5862000000000025,0.6674745570747449
CC1(c2ccc3ccccc3c2)NC(=O)N(CC(=O)N2CCCc3ccccc32)C1=O,413.4770000000002,69.72,3.5862000000000025,0.6674745570747449
CC1(c2ccc3ccccc3c2)NC(=O)N(CC(=O)N2CCCc3ccccc32)C1=O,413.4770000000002,69.72,3.5862000000000025,0.6674745570747449
CC1(c2ccc3ccccc3c2)NC(=O)N(CC(=O)N2CCCc3ccccc32)C1=O,413.4770000000002,69.72,3.5862000000000025,0.6674745570747449
CC1(c2ccc3ccccc3c2)NC(=O)N(CC(=O)N2CCCc3ccccc32)C1=O,413.4770000000002,69.72,3.5862000000000025,0.6674745570747449
CC1(c2ccc3ccccc3c2)NC(=O)N(CC(=O)N2CCCc3ccccc32)C1=O,413.4770000000002,69.72,3.5862000000000025,0.6674745570747449
CC1(c2ccc3ccccc3c2)NC(=O)N(CC(=O)N2CCCc3ccccc32)C1=O,413.4770000000002,69.72,3.5862000000000025,0.6674745570747449
CCOc1ccc2c(ncn2C2CC(=O)NC2=O)n1,260.253,86.11,0.4175999999999998,0.8080390916008255
CCOc1ccc2[nH]c(-c3cc(F)cc(F)c3)nc2n1,275.258,50.8,3.301800000000002,0.7975010979559807
Brc1cccc(C=CCOc2ccc3[nH]cnc3n2)c1,330.185,50.8,3.8126000000000024,0.7912819905021898
CCOc1ccc2c(ncn2C2CCC(=O)CC2)n1,259.3089999999999,57.010000000000005,2.5142000000000007,0.849468112125348
CSCCOc1ccc2[nH]c(C3CCC[NH+](CC(C)C)CC3)nc2n1,363.55100000000016,55.24,2.5081000000000007,0.7423897877497286
CC(C)(C)C(=O)Cn1cnc2nc(OCCC3CCOC3)ccc21,331.41600000000005,66.24000000000001,2.8519000000000014,0.8141102690701486
CCOc1ccc2[nH]c(C3([NH3+])CCC3)nc2n1,233.29499999999996,78.44,0.9776999999999996,0.8290010433327324
CCOc1ccc2[nH]c(NC3CCSc4ccccc43)nc2n1,326.425,62.83,4.005600000000001,0.7584071046720945
CC(Cl)=CCOc1ccc2[nH]c(-c3ccc([O-])nn3)nc2n1,316.72800000000007,99.64,2.0098999999999996,0.789979468986596
